Unnamed: 0,NAME,total_renter_households,30_to_34pct,35_to_39pct,40_to_49pct,50pct_plus,median_gross_rent,median_household_income,msa_code,cost_burdened,severely_burdened,pct_cost_burden,pct_severely_burdened,metro,state,burden_category,cbsa_num,fmr_2br,cbsacode18,WRLURI18,num_municipalities,welfare_loss_index,welfare_loss_score,zoning_tax,zoning_tax_pct,log_renters,predicted_burden,residual
54,"Bremerton-Silverdale-Port Orchard, WA Metro Area",31981,3489,2454,2653,6947,1635,93675,14740,15543,6947,48.6,21.72,"Bremerton-Silverdale-Port Orchard, WA",WA,High (40-49%),14740.0,1765.0,14740.0,-0.33649117,1,23.6,68.72,-130.0,-7.37,10.372897255442528,43.91,4.69
55,"Bridgeport-Stamford-Norwalk, CT Metro Area",118930,10136,7865,10736,31775,1751,107351,14860,60512,31775,50.88,26.72,"Bridgeport-Stamford-Norwalk, CT",CT,Very High (50%+),14860.0,1371.0,14860.0,0.27043277,8,25.880000000000003,75.36,380.0,27.72,11.686290363721291,49.91,0.97
56,"Bridgeport-Stamford-Norwalk, CT Metro Area",118930,10136,7865,10736,31775,1751,107351,14860,60512,31775,50.88,26.72,"Bridgeport-Stamford-Norwalk, CT",CT,Very High (50%+),14860.0,1810.0,14860.0,0.27043277,8,25.880000000000003,75.36,-59.0,-3.26,11.686290363721291,49.99,0.89
57,"Bridgeport-Stamford-Norwalk, CT Metro Area",118930,10136,7865,10736,31775,1751,107351,14860,60512,31775,50.88,26.72,"Bridgeport-Stamford-Norwalk, CT",CT,Very High (50%+),14860.0,2230.0,14860.0,0.27043277,8,25.880000000000003,75.36,-479.0,-21.48,11.686290363721291,50.03,0.85
58,"Brownsville-Harlingen, TX Metro Area",46015,4150,2743,3614,10623,855,47435,15180,21130,10623,45.92,23.09,"Brownsville-Harlingen, TX",TX,High (40-49%),15180.0,803.0,15180.0,-0.9804325,3,20.92,60.92,52.0,6.48,10.736722709272957,45.1,0.82
60,"Buffalo-Cheektowaga, NY Metro Area",167999,12636,9838,12652,42166,956,67638,15380,77292,42166,46.01,25.1,"Buffalo-Cheektowaga, NY",NY,High (40-49%),15380.0,963.0,15380.0,0.21027839,12,21.009999999999998,61.18,-7.0,-0.73,12.031713305986727,48.36,-2.35
63,"California-Lexington Park, MD Metro Area",11346,544,693,573,2602,1595,113668,15680,4412,2602,38.89,22.93,"California-Lexington Park, MD",MD,Moderate (30-39%),15680.0,1372.0,15680.0,0.3264193,1,13.89,40.45,223.0,16.25,9.336620537886512,45.13,-6.24
64,"Canton-Massillon, OH Metro Area",51907,4173,3010,3944,9484,835,62859,15940,20611,9484,39.71,18.27,"Canton-Massillon, OH",OH,Moderate (30-39%),15940.0,768.0,15940.0,-0.31504095,3,14.71,42.84,67.0,8.72,10.857208934818349,40.4,-0.69
65,"Cape Coral-Fort Myers, FL Metro Area",83206,7339,6183,8014,22717,1466,69368,15980,44253,22717,53.18,27.3,"Cape Coral-Fort Myers, FL",FL,Very High (50%+),15980.0,1231.0,15980.0,0.3799063,2,28.18,82.06,235.0,19.09,11.329074739593725,50.48,2.7
69,"Casper, WY Metro Area",8958,565,607,938,1709,945,69104,16220,3819,1709,42.63,19.08,"Casper, WY",WY,High (40-49%),16220.0,856.0,16220.0,-0.59318584,1,17.630000000000003,51.34,89.0,10.4,9.100302266767246,40.48,2.15
70,"Cedar Rapids, IA Metro Area",27608,2116,1567,2067,5232,863,75477,16300,10982,5232,39.78,18.95,"Cedar Rapids, IA",IA,Moderate (30-39%),16300.0,814.0,16300.0,-0.70319104,4,14.780000000000001,43.04,49.0,6.02,10.22586086477784,40.69,-0.91
71,"Chambersburg-Waynesboro, PA Metro Area",16945,1548,984,1153,2916,1019,71808,16540,6601,2916,38.96,17.21,"Chambersburg-Waynesboro, PA",PA,Moderate (30-39%),16540.0,939.0,16540.0,-0.92184037,3,13.96,40.65,80.0,8.52,9.737728084041152,38.55,0.41
72,"Champaign-Urbana, IL Metro Area",39445,2696,2072,2999,10499,975,62281,16580,18266,10499,46.31,26.62,"Champaign-Urbana, IL",IL,High (40-49%),16580.0,977.0,16580.0,1.107313,2,21.310000000000002,62.06,-2.0,-0.2,10.58266257552919,49.95,-3.64
73,"Charleston, WV Metro Area",29907,2106,1649,2008,6015,841,54473,16620,11778,6015,39.38,20.11,"Charleston, WV",WV,Moderate (30-39%),16620.0,833.0,16620.0,-0.70504236,1,14.380000000000003,41.88,8.0,0.96,10.305847845690813,41.96,-2.58
74,"Charleston, WV Metro Area",29907,2106,1649,2008,6015,841,54473,16620,11778,6015,39.38,20.11,"Charleston, WV",WV,Moderate (30-39%),16620.0,710.0,16620.0,-0.70504236,1,14.380000000000003,41.88,131.0,18.45,10.305847845690813,41.92,-2.54
75,"Charleston, WV Metro Area",29907,2106,1649,2008,6015,841,54473,16620,11778,6015,39.38,20.11,"Charleston, WV",WV,Moderate (30-39%),16620.0,705.0,16620.0,-0.70504236,1,14.380000000000003,41.88,136.0,19.29,10.305847845690813,41.91,-2.53
76,"Charleston-North Charleston, SC Metro Area",100827,8107,6848,9630,23943,1402,77460,16700,48528,23943,48.13,23.75,"Charleston-North Charleston, SC",SC,High (40-49%),16700.0,1372.0,16700.0,-0.07321241,5,23.130000000000003,67.36,30.0,2.19,11.521161455894942,46.59,1.54
77,"Charlotte-Concord-Gastonia, NC-SC Metro Area",348582,30392,22009,29353,70959,1279,76177,16740,152713,70959,43.81,20.36,"Charlotte-Concord-Gastonia, NC-SC",NC,High (40-49%),16740.0,805.0,16740.0,-0.3756849,12,18.810000000000002,54.78,474.0,58.88,12.761628775623043,43.13,0.68
78,"Charlotte-Concord-Gastonia, NC-SC Metro Area",348582,30392,22009,29353,70959,1279,76177,16740,152713,70959,43.81,20.36,"Charlotte-Concord-Gastonia, NC-SC",NC,High (40-49%),16740.0,1155.0,16740.0,-0.3756849,12,18.810000000000002,54.78,124.0,10.74,12.761628775623043,43.25,0.56
80,"Chattanooga, TN-GA Metro Area",71328,5182,4760,5641,13818,1000,65387,16860,29401,13818,41.22,19.37,"Chattanooga, TN-GA",TN,High (40-49%),16860.0,883.0,16860.0,-0.05491659,4,16.22,47.23,117.0,13.25,11.175044236185595,41.81,-0.59
82,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,1310,85087,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%),16980.0,1340.0,16980.0,-0.15016596,94,20.049999999999997,58.39,-30.0,-2.24,14.054588086518114,46.8,-1.75
83,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,1310,85087,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%),16980.0,1044.0,16980.0,-0.15016596,94,20.049999999999997,58.39,266.0,25.48,14.054588086518114,46.74,-1.69
84,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,1310,85087,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%),16980.0,959.0,16980.0,-0.15016596,94,20.049999999999997,58.39,351.0,36.6,14.054588086518114,46.71,-1.66
85,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,1310,85087,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%),16980.0,1205.0,16980.0,-0.15016596,94,20.049999999999997,58.39,105.0,8.71,14.054588086518114,46.78,-1.73
86,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,1310,85087,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%),16980.0,1303.0,16980.0,-0.15016596,94,20.049999999999997,58.39,7.0,0.54,14.054588086518114,46.8,-1.75
87,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,1310,85087,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%),16980.0,1066.0,16980.0,-0.15016596,94,20.049999999999997,58.39,244.0,22.89,14.054588086518114,46.74,-1.69
