,NAME,total_renter_households,30_to_34pct,35_to_39pct,40_to_49pct,50pct_plus,median_gross_rent,median_household_income,msa_code,cost_burdened,severely_burdened,pct_cost_burden,pct_severely_burdened,metro,state,burden_category,cbsa_num,fmr_2br
82,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,1310,85087,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%),16980.0,1340.0
83,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,1310,85087,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%),16980.0,1044.0
84,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,1310,85087,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%),16980.0,959.0
85,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,1310,85087,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%),16980.0,1205.0
86,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,1310,85087,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%),16980.0,1303.0
87,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,1310,85087,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%),16980.0,1066.0
88,"Chico, CA Metro Area",34895,2571,2397,3490,9811,1280,66085,17020,18269,9811,52.35,28.12,"Chico, CA",CA,Very High (50%+),17020.0,1177.0
89,"Cincinnati, OH-KY-IN Metro Area",286425,20884,16625,19797,61645,990,76247,17140,118951,61645,41.53,21.52,"Cincinnati, OH-KY-IN",OH,High (40-49%),17140.0,793.0
90,"Cincinnati, OH-KY-IN Metro Area",286425,20884,16625,19797,61645,990,76247,17140,118951,61645,41.53,21.52,"Cincinnati, OH-KY-IN",OH,High (40-49%),17140.0,968.0
91,"Cincinnati, OH-KY-IN Metro Area",286425,20884,16625,19797,61645,990,76247,17140,118951,61645,41.53,21.52,"Cincinnati, OH-KY-IN",OH,High (40-49%),17140.0,812.0
92,"Cincinnati, OH-KY-IN Metro Area",286425,20884,16625,19797,61645,990,76247,17140,118951,61645,41.53,21.52,"Cincinnati, OH-KY-IN",OH,High (40-49%),17140.0,829.0
93,"Clarksville, TN-KY Metro Area",45083,3975,2890,4177,8295,1064,62188,17300,19337,8295,42.89,18.4,"Clarksville, TN-KY",TN,High (40-49%),17300.0,910.0
94,"Clarksville, TN-KY Metro Area",45083,3975,2890,4177,8295,1064,62188,17300,19337,8295,42.89,18.4,"Clarksville, TN-KY",TN,High (40-49%),17300.0,699.0
95,"Cleveland, TN Metro Area",14738,1228,747,1232,2658,894,60001,17420,5865,2658,39.8,18.04,"Cleveland, TN",TN,Moderate (30-39%),17420.0,830.0
96,"Cleveland-Elyria, OH Metro Area",307569,25684,16582,22375,68110,957,66481,17460,132751,68110,43.16,22.14,"Cleveland-Elyria, OH",OH,High (40-49%),17460.0,893.0
97,"Coeur d'Alene, ID Metro Area",18544,1853,1680,2004,3625,1216,71949,17660,9162,3625,49.41,19.55,"Coeur d'Alene, ID",ID,High (40-49%),17660.0,1047.0
98,"College Station-Bryan, TX Metro Area",49065,3379,3203,4637,15199,1107,58659,17780,26418,15199,53.84,30.98,"College Station-Bryan, TX",TX,Very High (50%+),17780.0,975.0
99,"Colorado Springs, CO Metro Area",95470,9064,7708,9624,23093,1508,82334,17820,49489,23093,51.84,24.19,"Colorado Springs, CO",CO,Very High (50%+),17820.0,1302.0
100,"Columbia, MO Metro Area",33546,2234,1790,3040,8863,981,65863,17860,15927,8863,47.48,26.42,"Columbia, MO",MO,High (40-49%),17860.0,878.0
101,"Columbia, MO Metro Area",33546,2234,1790,3040,8863,981,65863,17860,15927,8863,47.48,26.42,"Columbia, MO",MO,High (40-49%),17860.0,713.0
102,"Columbia, MO Metro Area",33546,2234,1790,3040,8863,981,65863,17860,15927,8863,47.48,26.42,"Columbia, MO",MO,High (40-49%),17860.0,689.0
103,"Columbia, SC Metro Area",102879,8159,6021,8438,26837,1096,63471,17900,49455,26837,48.07,26.09,"Columbia, SC",SC,High (40-49%),17900.0,990.0
104,"Columbus, GA-AL Metro Area",53949,4233,3182,4521,12055,999,55720,17980,23991,12055,44.47,22.35,"Columbus, GA-AL",GA,High (40-49%),17980.0,827.0
105,"Columbus, GA-AL Metro Area",53949,4233,3182,4521,12055,999,55720,17980,23991,12055,44.47,22.35,"Columbus, GA-AL",GA,High (40-49%),17980.0,704.0
106,"Columbus, GA-AL Metro Area",53949,4233,3182,4521,12055,999,55720,17980,23991,12055,44.47,22.35,"Columbus, GA-AL",GA,High (40-49%),17980.0,704.0
