cbsa_num,area_name,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
34620.0,"Muncie, IN MSA",565,598,756,1016,1094
34740.0,"Muskegon, MI MSA",591,655,855,1091,1159
34820.0,"Myrtle Beach-North Myrtle Beach-Conway, SC HUD Metro FMR Area",885,917,1062,1349,1526
34900.0,"Napa, CA MSA",1438,1645,2164,2924,2935
34940.0,"Naples-Immokalee-Marco Island, FL MSA",1106,1295,1583,2078,2153
34980.0,"Nashville-Davidson--Murfreesboro--Franklin, TN HUD Metro FMR Area",1079,1100,1253,1587,1975
35620.0,"Nassau-Suffolk, NY HUD Metro FMR Area",1372,1695,2065,2642,2911
39300.0,"New Bedford, MA HUD Metro FMR Area",809,903,1114,1377,1511
35300.0,"New Haven-Meriden, CT HUD Metro FMR Area",1048,1186,1447,1789,1995
35380.0,"New Orleans-Metairie, LA HUD Metro FMR Area",786,927,1089,1404,1623
35620.0,"New York, NY HUD Metro FMR Area",2018,2054,2340,2952,3173
35620.0,"Newark, NJ HUD Metro FMR Area",1017,1223,1479,1887,2249
35660.0,"Niles-Benton Harbor, MI MSA",646,655,845,1094,1252
35840.0,"North Port-Sarasota-Bradenton, FL MSA",920,1081,1385,1835,2185
35980.0,"Norwich-New London, CT HUD Metro FMR Area",833,1006,1254,1616,2102
41860.0,"Oakland-Fremont, CA HUD Metro FMR Area",1538,1854,2274,3006,3578
36100.0,"Ocala, FL MSA",740,806,995,1285,1418
36140.0,"Ocean City, NJ MSA",973,1113,1465,1816,1987
36220.0,"Odessa, TX MSA",884,934,1229,1519,1771
36260.0,"Ogden-Clearfield, UT HUD Metro FMR Area",811,891,1105,1535,1864
36420.0,"Oklahoma City, OK HUD Metro FMR Area",716,746,927,1239,1455
36500.0,"Olympia-Tumwater, WA MSA",1035,1076,1273,1808,2179
36540.0,"Omaha-Council Bluffs, NE-IA HUD Metro FMR Area",698,794,974,1305,1457
36740.0,"Orlando-Kissimmee-Sanford, FL MSA",1152,1237,1422,1827,2211
36780.0,"Oshkosh-Neenah, WI MSA",639,689,889,1197,1419
45780.0,"Ottawa County, OH HUD Metro FMR Area",538,617,785,970,1148
36980.0,"Owensboro, KY MSA",595,641,843,1101,1143
37100.0,"Oxnard-Thousand Oaks-Ventura, CA MSA",1507,1792,2218,3101,3655
37340.0,"Palm Bay-Melbourne-Titusville, FL MSA",815,984,1196,1596,1921
19660.0,"Palm Coast, FL HUD Metro FMR Area",800,925,1193,1575,1809
37460.0,"Panama City, FL MSA",903,1010,1170,1613,1983
45460.0,"Parke County, IN HUD Metro FMR Area",552,583,767,948,1040
37620.0,"Parkersburg-Vienna, WV MSA",636,645,781,1043,1126
25060.0,"Pascagoula, MS HUD Metro FMR Area",598,735,846,1155,1448
37860.0,"Pensacola-Ferry Pass-Brent, FL MSA",844,877,1012,1424,1732
37900.0,"Peoria, IL HUD Metro FMR Area",592,641,815,1059,1106
37980.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",940,1071,1298,1605,1837
38060.0,"Phoenix-Mesa-Scottsdale, AZ MSA",1005,1091,1311,1825,2078
35620.0,"Pike County, PA HUD Metro FMR Area",1048,1055,1368,1863,2341
38220.0,"Pine Bluff, AR MSA",563,578,760,950,1097
38300.0,"Pittsburgh, PA HUD Metro FMR Area",763,807,981,1252,1371
38340.0,"Pittsfield, MA HUD Metro FMR Area",848,1013,1277,1623,1759
38540.0,"Pocatello, ID HUD Metro FMR Area",547,626,824,1170,1410
